Mr. Stephen W. Blackwell,T
Mr. Harry M. Molson,A2
Mr. George B. Goldschmidt,A5
Mr. Thomas F. McCaffry,A6
Mr. James C. Smith,A7
Mr. Thomson Beattie,A8
Mr. Paul R. Chevre,A9
Mr. John H. Ross,A10
Miss Edith Rosenbaum,A11
Mr. William T. Sloper,A12
Mr. George Q. Clifford,A14
Mr. Robert W. Daniel,A15
Sir Cosmo Duff Gordon,A16
Mr. William C. Dulles,A18
Mr. Richard W. Smith,A19
Lady Lucy Duff Gordon,A20
Mr. John B. Brady,A21
Mr. Algernon H. Barkworth,A23
Mr. Washington A. Roebling II,A24
Colonel Oberst A. Simonius,A26
Miss Edith Evans,A29
Mr. Henry Blank,A31
Mr. Hugh R. Rood,A32
Dr. Washington Dodge,A34
Mrs. Ruth Dodge,A34
Master Washington Dodge,A34
Mr. Thomas Andrews Complementary,A36
Mrs. Elisabeth Robert,B3
Miss Elisabeth Allen,B5
Miss Georgette Madill,B5
Mr. Christopher Head,B11
Mrs. Ida Hippach,B18
Miss Jean Hippach,B18
Mr. Wyckoff Van der Hoef,B19
Mr. Albert A. Dick,B20
Mrs. Vera Dick,B20
Captain Edward G. Crosby,B22
Mrs. Catherine Crosby,B22
Mr. Vivian P. Payne (Hays Assistant),B24
Miss Harriette Crosby,B26
Mrs. Martha Stone,B28
Miss Amelie Icard (Stone Maid),B28
Mr. Engelhart C. Ostby,B30
Mr. Albert A. Stewart,B31
Mr. Francis D. Millet,B32
Miss Leontine Aubart,B35
Miss Emma Sagesser (Aubart Maid),B35
Miss Helen Ostby,B36
Mr. Edward A. Kent,B37
Major Archibald W. Butt,B38
Miss Hedwig Frolicher,B39
Mr. Maximilian J. Frolicher-Stehli,B41
Mrs. Margaretha Frolicher-Stehli,B41
Mr. John P. Snyder,B45
Mrs. Nelle Snyder,B45
Mr. Dickinson H. Bishop,B49
Mrs. Helen Bishop,B49
Dr. Max Stahelin,B50
Mr. Thomas D. Cardeza B51,B53,B55
Mrs. Charlotte Cardeza B51,B53,B55
Miss Annie Ward (Cardeza Maid) B51,B53,B55
Mr. Gustave Lesurrer (Cardeza Manservant),B101
Mr. Joseph B. Ismay Complementary B52,B54,B56
Mr. John R. Fry (Ismay Manservant) Complementary,B102
Mrs. Helene Baxter,B58
Mrs. Mary Douglas,B58
Mr. Quigg E. Baxter,B60
Mr. Charles M. Hays,B69
Mrs. Clara Hays,B69
Miss Mary Anne Perreault (Hays Maid),B73
Mr. Emil Brandeis,B70
Mr. Thornton Davidson,B71
Mrs. Orian Davidson,B71
Mr. William A. Spencer,B78
Mrs. Marie Spencer,B78
Miss Eugenie Lurette (Spencer Maid),B80
Miss Susan Ryerson,B77
Miss Grace Bowen (Ryerson Nurse),B77
Mr. Arthur L. Ryerson,B81
Mrs. Emily Ryerson,B81
Miss Emily Ryerson,B83
Master John Ryerson,B83
Miss Victorine Chaudanson (Ryerson Maid),B85
Mr. Benjamin Guggenheim,B84
Mr. Victor G. Giglio (Guggenheim Manservant),B84
Mr. George A. Rheims,B93
Mr. William H. Harrison (Ismay Secretary) Complementary,B94
Mr. Joseph H. Loring,B95
Mr. William E. Carter,B96
Mrs. Lucile Carter,B96
Mr. Alexander Cairns (Carter Manservant),B86
Miss Lucile Carter,B98
Master William T. Carter II,B98
Mr. George A. Brereton,B100
Mr. Thomas C. Pears,C2
Mrs. Edith Pears,C2
Mr. George D. Wick,C5
Mrs. Mary Wick,C5
Miss Mary Wick,C7
Miss Caroline Bonnell,C7
Colonel John J. Astor,C21
Mrs. Madeline Astor,C17
Miss Caroline Endres (Astor Nurse),C45
Miss Rosalie Biodis (Astor Maid),C43
Mr. Victor Robbins (Astor Manservant),C15
Mr. Charles A. Fortune,C23
Miss Alice Fortune,C25
Miss Ethel Fortune,C25
Miss Mabel Fortune,C25
Mr. Mark Fortune,C27
Mrs. Mary Fortune,C27
Miss Loraine Allison,C22
Miss Sarah Daniels (Allison Maid),C22
Master Hudson T. Allison C24,11m
Miss Alice Cleaver (Allison Nurse),C24
Mr. Hudson J. Allison,C26
Mrs. Bessie Allison,C26
Mrs. Emma Schabert,C28
Mr. Philip E. Mock,C30
Mr. Lucien P. Smith,C31
Mrs. Mary Smith,C31
Mrs. Ella White,C32
Miss Marie Young,C32
Mr. William E. Hipkins,C39
Mr. George E. Graham,C42
Mr. Pierre Marechal,C47
Miss Anne Isham,C49
Mrs. Lily Potter,C50
Colonel Archibald Gracie IV,C51
Mr. Hugh Woolner,C52
Mr. Mauritz H. Steffansson,C52
Mr. Gilbert M. Tucker Jr.,C53
Mrs. Olive Earnshaw,C54
Miss Margaret Hays,C54
Mr. Isidor Straus C55,C57
Mrs. Ida Straus C55,C57
Miss Ellen Bird (Straus Maid),C97
Mr. John Farthing (Straus Manservant),C95
Mr. Victor Penasco,C65
Mrs. Maria Penasco,C65
Miss Olivia Ocana (Penasco Maid),C109
Mr. John B. Thayer,C68
Mrs. Marion Thayer,C68
Miss Margaret Fleming (Thayer Maid),C114
Mr. John B. Thayer Jr.,C70
Dr. William E. Minahan,C78
Mrs. Lillian Minahan,C78
Miss Daisy Minahan,C78
Mr. George D. Widener,C80
Mrs. Eleanor Widener,C80
Miss Amelie Gieger (Widener Maid),C130
Mr. Edwin Keeping (Widener Manservant),C132
Mr. Harry Widener,C82
The Countess of Rothes Lucy Edwards,C77
Miss Gladys Cherry,C77
Mr. Henry B. Harris,C83
Mrs. Irene Harris,C83
Mr. John B. Cumings,C85
Mrs. Florence Cumings,C85
Mr. Walter D. Douglas,C86
Mrs. Mahala Douglas,C86
Miss Berthe Leroy (Douglas Maid),C140
Miss Auguste Serreplan (Carter Maid),C140
Mr. William T. Stead,C87
Dr. Henry W. Frauenthal,C88
Mrs. Clara Frauenthal,C88
Mr. Walter M. Clark,C89
Mrs. Virginia Clark,C89
Miss Bertha de Villiers,C90
Mrs. Edith Graham,C91
Miss Margaret Graham,C91
Mr. Samuel L. Goldenberg,C92
Mrs. Ella Goldenberg,C92
Mr. Frederick M. Hoyt,C93
Mrs. Jane Hoyt,C93
Mr. Martin Rothschild,C95
Mrs. Elizabeth Rothschild,C95
Miss Amelia Bissetti (White Maid),C99
Mrs. Caroline Brown,C101
Mrs. Charlotte Appleton,C101
Mrs. Malvina Cornell,C101
Miss Elizabeth Bonnell,C103
Major Arthur G. Peuchen,C104
Mr. Adolphe Saalfeld,C106
Mr. John E. Maguire,C108
Mr. Walter C. Porter,C110
Mr. Benjamin L. Foreman,C111
Mr. Charles E. Stengel,C116
Mrs. Annie Stengel,C116
Mr. Charles H. Natsch,C118
Mr. Sante Righini (White Manservant),C120
Mr. Jacques H. Futrelle,C123
Mrs. Lily Futrelle,C123
Mr. Herman Klaber,C124
Miss Elizabeth Shutes (Graham Governess),C125
Mr. Elmer Z. Taylor,C126
Mrs. Juliet Taylor,C126
Mr. Fletcher L. Williams,C128
Mr. Austin Partner,C142
Mr. Karl H. Behr,C148
Mr. Milton C. Long,D6
Miss Kornelia Andrews,D7
Mrs. Antoinette Flegenheim,D8
Miss Gretchen Longley,D9
Mr. William B. Greenfield,D10
Mrs. Anna Hogeboom,D11
Mrs. Blanche Greenfield,D12
Mr. Charles D. Williams,D14
Mr. Richard N. Williams II,D14
Mrs. Emma Bucknell,D15
Miss Albina Bazzani (Bucknell Maid),D15
Dr. Alice Leader,D17
Mrs. Margaret Swift,D17
Mr. Edwin N. Kimball,D19
Mrs. Gertrude Kimball,D19
Miss Elizabeth Eustis,D20
Mrs. Martha Stephenson,D20
Mr. Frederick R. Kenyon,D21
Mrs. Marion Kenyon,D21
Mr. John J. Borebank,D22
Mr. Percival W. White,D26
Mr. Richard F. White,D26
Mrs. Elizabeth Lines,D28
Miss Mary Lines,D28
Mr. Daniel W. Marvin,D30
Mrs. Mary Marvin,D30
Mrs. Eleanor Cassebeer,D31
Mr. Henry S. Harper,D33
Mrs. Myna Harper,D33
Mr. Hamma Hassab (Harper Manservant),D49
Mr. Thomas P. Franklin,D34
Mr. Richard L. Beckwith,D35
Mrs. Sallie Beckwith,D35
Miss Madeline Newell,D36
Miss Marjorie Newell,D36
Mr. Frank M. Warren,D37
Mrs. Anna Warren,D37
Mr. Alfred Nourney,D38
Mr. Isaac Frauenthal,D40
Mr. Servando R. Ovies,D43
Mr. Walter J. Hawksford,D45
Mr. William A. Walker,D46
Miss Helen Newsom,D47
Mr. Arthur W. Newell,D48
Mr. Frederick Sutton,D50
Mr. Norman C. Chambers,E8
Mrs. Bertha Chambers,E8
Miss Constance Willard,E9
Miss Roberta Maioni (Countess of Rothes Maid),E11
Mr. Harry Anderson,E12
Miss Emilie Kreuchen (Roberts Maid),E14
Mr. Abraham L. Soloman,E16
Mr. Peter D. Daly,E17
Mrs. Pauline Gibson,E22
Miss Dorothy Gibson,E22
Mrs. Margaret Brown,E23
Mr. Edward P. Calderhead,E24
Mr. Spencer V. Silverthorne,E24
Mr. John I. Flynn,E25
Mr. James R. McGough,E25
Miss Laura Francatelli (Duff Gordon Secretary),E26
Mr. Herbert F. Chaffee,E31
Mrs. Carrie Chaffee,E31
Mrs. Edith Chibnall,E33
Miss Elsie Bowerman,E33
Mr. Frederic O. Spedden,E34
Mrs. Margaretta Spedden,E34
Miss Helen Wilson (Spedden Maid),E40
Master Robert D. Spedden,E36
Miss Elizabeth Burns (Spedden Nurse),E36
Mr. William B. Silvey,E44
Mrs. Alice Silvey,E44
Mrs. Mary Compton,E45
Mr. Herbert H. Hilliard,E46
Mr. Timothy J. McCarthy,E46
Miss Sara Compton,E49
Mr. George A. Harder,E50
Mrs. Dorothy Harder,E50
Mr. Alexander T. Compton Jr.,E52
Mr. Edward P. Colley,E58
Mr. Henry F. Jullian,E60
Mr. Arthur H. Gee,E63
Mr. Emil Taussig,E67
Mrs. Tillie Taussig,E67
Miss Ruth Taussig,E68
Mrs. Helen Candee,D
Mr. Howard B. Case,C
Colonel John Weir,E
Mr. George Wright,E
